iter	MultiClass
0	1.365875593
1	1.16929143722	1.04137851133	0.926143012144	0.83776876215	0.7715138507
6	0.7059055741
7	0.6439458728
8	0.5915332795
9	0.5462061218
10	0.5046486745
11	0.4689790946
12	0.4374849801
13	0.4095742113
14	0.3828961377
15	0.363549268
16	0.3409881072
17	0.322751443
18	0.3047055767
19	0.289239642
20	0.2735428864
21	0.2612607941
22	0.2482746547
23	0.235763488
24	0.2220979863
25	0.2146477433
26	0.2053026941
27	0.1972686658
28	0.1884928155
29	0.183027465
30	0.1770734561
31	0.1717326393
32	0.1662443267
33	0.1599570537
34	0.1553157824
35	0.150781242
36	0.1465452965
37	0.1429572355
38	0.1388883031
39	0.1350110473
40	0.130710825
41	0.1268206659
42	0.1240121999
43	0.1215780213
44	0.1190079444
45	0.1170907857
46	0.1140805097
47	0.1121358712
48	0.1106015242
49	0.1085148244
50	0.1067750139
51	0.1045630882
52	0.1028524276
53	0.1013612904
54	0.09982950356
55	0.09781174612
56	0.09612865991
57	0.09434390209
58	0.09266513854
59	0.09105509434
60	0.08989382971
61	0.08862091827
62	0.08736508485
63	0.08578618367
64	0.08512005153
65	0.08380104886
66	0.08275049409
67	0.081869488
68	0.068	0.08189869	0.069	0.08096070	0.070	0.07988471	0.071	0.07882072	0.07585052008
73	0.073	0.07654074	0.074	0.07620775	0.075	0.07531576	0.076	0.07410361726
77	0.07307440115
78	0.07221679	0.079	0.07106980	0.080	0.07073213676
81	0.06981103367
82	0.06855867981
83	0.06785597663
84	0.06729843661
85	0.06656738192
86	0.06634383041
87	0.06560362954
88	0.06468623086
89	0.06400238433
90	0.06355525437
91	0.0624912682
92	0.06214197477
93	0.06133723615
94	0.06049789354
95	0.05981102078
96	0.05921577834
97	0.05863778873
98	0.05794427519
99	0.05733008852
100	0.05661498179
101	0.05610577681
102	0.05535482981
103	0.05475648573
104	0.05418201148
105	0.05393642553
106	0.05362193282
107	0.05340060821
108	0.0532727696
109	0.05282272898
110	0.05246412846
111	0.05204222214
112	0.05140816936
113	0.05106525193
114	0.05057319681
115	0.05032945788
116	0.05006101881
117	0.04944485753
118	0.04884029558
119	0.04847881691
120	0.04796182386
121	0.04760489969
122	0.04730940043
123	0.04708281982
124	0.04674575294
125	0.04659983439
126	0.04631028364
127	0.04621082204
128	0.04578453321
129	0.04542226045
130	0.04502998983
131	0.04495566539
132	0.04446507116
133	0.04411220176
134	0.04385636638
135	0.04371480002
136	0.04334741592
137	0.0429030639
138	0.0424439239
139	0.04195646404
140	0.04161378915
141	0.04147863314
142	0.04119261204
143	0.0408958079
144	0.0406922828
145	0.04028048214
146	0.03994031395
147	0.03974742498
148	0.03949239031
149	0.03932348423
150	0.03914771678
151	0.03887615669
152	0.03868193183
153	0.03819913632
154	0.03801950848
155	0.03770372947
156	0.03755707898
157	0.03727212215
158	0.0371280055
159	0.0368088467
160	0.03657758368
161	0.03638901016
162	0.03612553673
163	0.03599229889
164	0.03582219706
165	0.03547765637
166	0.03527999525
167	0.03514094009
168	0.03500679604
169	0.03463312474
170	0.03445538286
171	0.03432976843
172	0.03409150057
173	0.03391463736
174	0.03373798797
175	0.03359445813
176	0.03342103468
177	0.03305307174
178	0.03289908536
179	0.03267302347
180	0.0324970582
181	0.03224955317
182	0.03205141272
183	0.03183571075
184	0.03162851022
185	0.03143027822
186	0.03117604948
187	0.03101738808
188	0.03075097242
189	0.03065717667
190	0.03054070977
191	0.03035143482
192	0.03022800551
193	0.03003393263
194	0.02981010217
195	0.02956943806
196	0.02942054888
197	0.0292061285
198	0.02913658619
199	0.02892400098
